SENDER_ID	SITE_ID	AGENCY	SITE_NAME	DIRECTORY_PATH	SUB_DIRECTORY_PATH
ARDELTAREGIONALJA	4999	22	AR_ARSTATE	project\vine\ar\arstate	ardeltaregionalja
ARCLARKJA	4999	23	AR_ARSTATE	project\vine\ar\arstate	arclarkja
ARCLAYPR	4999	25	AR_ARSTATE	project\vine\ar\arstate	
ARCLEBURNEJA	4999	28	AR_ARSTATE	project\vine\ar\arstate	arcleburneja
ARCLEBPR	4999	29	AR_ARSTATE	project\vine\ar\arstate	
ARCLEVELANDJA	4999	31	AR_ARSTATE	project\vine\ar\arstate	arclevelandja
ARCOLUMBIAJA	4999	32	AR_ARSTATE	project\vine\ar\arstate	arcolumbiaja
ARCONWAYJA	4999	34	AR_ARSTATE	project\vine\ar\arstate	arconwayja
ARCONWAYPR	4999	35	AR_ARSTATE	project\vine\ar\arstate	
ARCRAWFORDJA	4999	39	AR_ARSTATE	project\vine\ar\arstate	arcrawfordja
ARCRITTENDENJA	4999	41	AR_ARSTATE	project\vine\ar\arstate	arcrittendenja
ARCROSSPR	4999	44	AR_ARSTATE	project\vine\ar\arstate	
ARDALLASPR	4999	45	AR_ARSTATE	project\vine\ar\arstate	ardallaspr
ARDALLASJA	4999	46	AR_ARSTATE	project\vine\ar\arstate	ardallasja
ARDESHAPR	4999	48	AR_ARSTATE	project\vine\ar\arstate	ardeshapr
ARDREWJA	4999	50	AR_ARSTATE	project\vine\ar\arstate	ardrewja
ARFAULKNERJA	4999	52	AR_ARSTATE	project\vine\ar\arstate	arfaulknerja
ARFAULKNERPR	4999	53	AR_ARSTATE	project\vine\ar\arstate	arfaulknerpr
ARFRANKLINJA	4999	54	AR_ARSTATE	project\vine\ar\arstate	arfranklinja
ARFRANKLINPR	4999	55	AR_ARSTATE	project\vine\ar\arstate	arfranklinpr
ARFULTONJA	4999	57	AR_ARSTATE	project\vine\ar\arstate	arfultonja
ARGARLANDJA	4999	59	AR_ARSTATE	project\vine\ar\arstate	argarlandja
ARGARLANDPR	4999	60	AR_ARSTATE	project\vine\ar\arstate	argarlandpr
ARGREENEJA	4999	63	AR_ARSTATE	project\vine\ar\arstate	argreeneja
ARGREENEPR	4999	64	AR_ARSTATE	project\vine\ar\arstate	argreenepr
WAKINGJA	48002	1	WA_KING	project\vine\wa\wakingja	
WAKINGIN	48500	1	WA_KING_C2C	project\gov\c2c\wa\kingc2c	
NVCLARKJA	29004	1	NV_CLARK	project\vine\nv\nvclarkja	
CAELDORADOJA	5099	79	CA_MULTICO	project\vine\ca\multico	caeldoradoja
OHMARIJA	36001	185	OH_OHSTATE	project\vine\oh\ohstate	ohmarionja
OHMEDINAJA	36001	186	OH_OHSTATE	project\vine\oh\ohstate	ohmedinaja
OHMEIGJA	36001	187	OH_OHSTATE	project\vine\oh\ohstate	ohmeigsja
OHMERCERJA	36001	188	OH_OHSTATE	project\vine\oh\ohstate	ohmercerja
OHMONROEJA	36001	190	OH_OHSTATE	project\vine\oh\ohstate	ohmonroeja
OHMONTGOMERYJA	36001	191	OH_OHSTATE	project\vine\oh\ohstate	ohmontgomeryja
OHMORROWJA	36001	193	OH_OHSTATE	project\vine\oh\ohstate	ohmorrowja
OHNOBLEJA	36001	195	OH_OHSTATE	project\vine\oh\ohstate	ohnobleja
OHOTTAWAJA	36001	196	OH_OHSTATE	project\vine\oh\ohstate	ohottawaja
OHPICKAWAYJA	36001	199	OH_OHSTATE	project\vine\oh\ohstate	ohpickawayja
OHPORTAGEJA	36001	201	OH_OHSTATE	project\vine\oh\ohstate	ohportageja
OHPREBLEJA	36001	202	OH_OHSTATE	project\vine\oh\ohstate	ohprebleja
OHPUTNAMJA	36001	203	OH_OHSTATE	project\vine\oh\ohstate	ohputnamja
OHRICHLANDJA	36001	204	OH_OHSTATE	project\vine\oh\ohstate	ohrichlandja
OHSANDUSKYJA	36001	206	OH_OHSTATE	project\vine\oh\ohstate	ohsanduskyja
OHSCIOTOJA	36001	207	OH_OHSTATE	project\vine\oh\ohstate	ohsciotoja
OHSENECAJA	36001	208	OH_OHSTATE	project\vine\oh\ohstate	ohsenecaja
OHSHELBYJA	36001	209	OH_OHSTATE	project\vine\oh\ohstate	ohshelbyja
OHSTARKJA	36001	210	OH_OHSTATE	project\vine\oh\ohstate	ohstarkja
OHTUSCARAWASJA	36001	213	OH_OHSTATE	project\vine\oh\ohstate	ohtuscarawasja
OHUNIOJA	36001	214	OH_OHSTATE	project\vine\oh\ohstate	ohunionja
OHVANWERTJA	36001	215	OH_OHSTATE	project\vine\oh\ohstate	ohvanwertja
OHVINTONJA	36001	216	OH_OHSTATE	project\vine\oh\ohstate	ohvintonja
OHWARRENJA	36001	217	OH_OHSTATE	project\vine\oh\ohstate	ohwarrenja
OHCCNOJA	36001	220	OH_OHSTATE	project\vine\oh\ohstate	ohccnoja
OHWOODJA	36001	221	OH_OHSTATE	project\vine\oh\ohstate	ohwoodja
OHHARDINJA	36001	167	OH_OHSTATE	project\vine\oh\ohstate	ohhardinja
OHWAYNEJA	36001	41	OH_OHSTATE	project\vine\oh\ohstate	ohwayneja
OHDRC	36001	42	OH_OHSTATE	project\vine\oh\ohstate	ohdrc
OHDYS	36001	43	OH_OHSTATE	project\vine\oh\ohstate	ohdys
OHADAMSJA	36001	133	OH_OHSTATE	project\vine\oh\ohstate	ohadamsja
OHALLENJA	36001	134	OH_OHSTATE	project\vine\oh\ohstate	ohallenja
OHASHLANDJA	36001	135	OH_OHSTATE	project\vine\oh\ohstate	ohashlandja
OHASHTABULAJA	36001	136	OH_OHSTATE	project\vine\oh\ohstate	ohashtabulaja
OHATHEJA	36001	137	OH_OHSTATE	project\vine\oh\ohstate	ohathensja
OHBELMONTJA	36001	139	OH_OHSTATE	project\vine\oh\ohstate	ohbelmontja
OHBROWNJA	36001	140	OH_OHSTATE	project\vine\oh\ohstate	ohbrownja
OHCHAMJA	36001	144	OH_OHSTATE	project\vine\oh\ohstate	ohchampaignja
OHCLARKJA	36001	145	OH_OHSTATE	project\vine\oh\ohstate	ohclarkja
OHCLERMONTJA	36001	146	OH_OHSTATE	project\vine\oh\ohstate	ohclermontja
OHCOLUMBIANAJA	36001	148	OH_OHSTATE	project\vine\oh\ohstate	ohcolumbianaja
OHCOSHOCTONJA	36001	149	OH_OHSTATE	project\vine\oh\ohstate	ohcoshoctonja
OHCRAWFORDJA	36001	150	OH_OHSTATE	project\vine\oh\ohstate	ohcrawfordja
OHCUYAHOGAJA	36001	151	OH_OHSTATE	project\vine\oh\ohstate	ohcuyahogaja
OHDEFIJA	36001	153	OH_OHSTATE	project\vine\oh\ohstate	
OHFAIRFIELDJA	36001	156	OH_OHSTATE	project\vine\oh\ohstate	ohfairfieldja
OHFAYETTEJA	36001	157	OH_OHSTATE	project\vine\oh\ohstate	ohfayetteja
OHFRANKLINJA	36001	158	OH_OHSTATE	project\vine\oh\ohstate	ohfranklinja
OHFULTJA	36001	159	OH_OHSTATE	project\vine\oh\ohstate	
OHGALLIAJA	36001	160	OH_OHSTATE	project\vine\oh\ohstate	ohgalliaja
OHGEAUGAJA	36001	161	OH_OHSTATE	project\vine\oh\ohstate	ohgeaugaja
OHHAMILTONJA	36001	164	OH_OHSTATE	project\vine\oh\ohstate	ohhamiltonja
OHHANCOCKJA	36001	166	OH_OHSTATE	project\vine\oh\ohstate	ohhancockja
NCYADKINPR	34003	1099	NC_STATE	project\vine\nc\ncstate	ncyadkinpr
NCYANCEYPR	34003	1100	NC_STATE	project\vine\nc\ncstate	ncyanceypr
OHATHEPR	36001	6	OH_OHSTATE	project\vine\oh\ohstate	ohathenspr
OHMCCC	36001	22	OH_OHSTATE	project\vine\oh\ohstate	ohmccc
NCWASHINGTONPR	34003	1094	NC_STATE	project\vine\nc\ncstate	ncwashingtonpr
NCWILSONPR	34003	1098	NC_STATE	project\vine\nc\ncstate	ncwilsonpr
NCALAMANCEPR	34003	1000	NC_STATE	project\vine\nc\ncstate	ncalamancepr
NCALEXANDERPR	34003	1001	NC_STATE	project\vine\nc\ncstate	ncalexanderpr
NCANSONPR	34003	1003	NC_STATE	project\vine\nc\ncstate	ncansonpr
NCBEAUFORTPR	34003	1006	NC_STATE	project\vine\nc\ncstate	ncbeaufortpr
NCBLADENPR	34003	1008	NC_STATE	project\vine\nc\ncstate	ncbladenpr
NCBUNCOMBEPR	34003	1010	NC_STATE	project\vine\nc\ncstate	ncbuncombepr
NCBURKEPR	34003	1011	NC_STATE	project\vine\nc\ncstate	ncburkepr
NCCALDWELLPR	34003	1013	NC_STATE	project\vine\nc\ncstate	nccaldwellpr
NCCARTERETPR	34003	1015	NC_STATE	project\vine\nc\ncstate	nccarteretpr
NCCATAWBAPR	34003	1017	NC_STATE	project\vine\nc\ncstate	nccatawbapr
NCCLEVELANDPR	34003	1022	NC_STATE	project\vine\nc\ncstate	ncclevelandpr
NCCRAVENPR	34003	1024	NC_STATE	project\vine\nc\ncstate	nccravenpr
NCCUMBERLANDPR	34003	1025	NC_STATE	project\vine\nc\ncstate	nccumberlandpr
NCDAREPR	34003	1027	NC_STATE	project\vine\nc\ncstate	ncdarepr
NCDUPLINPR	34003	1030	NC_STATE	project\vine\nc\ncstate	ncduplinpr
NCFORSYTHPR	34003	1033	NC_STATE	project\vine\nc\ncstate	ncforsythpr
NCFRANKLINPR	34003	1034	NC_STATE	project\vine\nc\ncstate	ncfranklinpr
NCGATESPR	34003	1036	NC_STATE	project\vine\nc\ncstate	ncgatespr
NCGRANVILLEPR	34003	1038	NC_STATE	project\vine\nc\ncstate	ncgranvillepr
GUILFORD401XX	34003	1041	NC_STATE	project\vine\nc\ncstate	
NCHALIFAXPR	34003	1042	NC_STATE	project\vine\nc\ncstate	nchalifaxpr
NCHAYWOODPR	34003	1044	NC_STATE	project\vine\nc\ncstate	nchaywoodpr
NCIREDELLPR	34003	1049	NC_STATE	project\vine\nc\ncstate	nciredellpr
NCLENOIRPR	34003	1054	NC_STATE	project\vine\nc\ncstate	nclenoirpr
NCLINCOLNPR	34003	1055	NC_STATE	project\vine\nc\ncstate	nclincolnpr
NCMACONPR	34003	1057	NC_STATE	project\vine\nc\ncstate	ncmaconpr
NCMADISONPR	34003	1058	NC_STATE	project\vine\nc\ncstate	ncmadisonpr
NCMONTGOMERYPR	34003	1062	NC_STATE	project\vine\nc\ncstate	ncmontgomerypr
NCMOOREPR	34003	1063	NC_STATE	project\vine\nc\ncstate	ncmoorepr
NCNEWHANOVERPR	34003	1065	NC_STATE	project\vine\nc\ncstate	ncnewhanoverpr
NCONSLOWPR	34003	1067	NC_STATE	project\vine\nc\ncstate	nconslowpr
NCORANGEPR	34003	1068	NC_STATE	project\vine\nc\ncstate	ncorangepr
NCPASQUOTANKPR	34003	1070	NC_STATE	project\vine\nc\ncstate	ncpasquotankpr
NCPERSONPR	34003	1073	NC_STATE	project\vine\nc\ncstate	ncpersonpr
NCROBESONPR	34003	1078	NC_STATE	project\vine\nc\ncstate	ncrobesonpr
NCRUTHERFORDPR	34003	1081	NC_STATE	project\vine\nc\ncstate	ncrutherfordpr
NCSTOKESPR	34003	1085	NC_STATE	project\vine\nc\ncstate	ncstokespr
NCUNIONPR	34003	1090	NC_STATE	project\vine\nc\ncstate	ncunionpr
NCSURRYJA	34003	87	NC_STATE	project\vine\nc\ncstate	ncsurryja
NCSWAINJA	34003	88	NC_STATE	project\vine\nc\ncstate	ncswainja
NCTRANSYLVANIAJA	34003	89	NC_STATE	project\vine\nc\ncstate	nctransylvaniaja
NCUNIONJA	34003	91	NC_STATE	project\vine\nc\ncstate	ncunionja
NCVANCEJA	34003	92	NC_STATE	project\vine\nc\ncstate	ncvanceja
NCWARRENJA	34003	94	NC_STATE	project\vine\nc\ncstate	ncwarrenja
NCWASHINGTONJA	34003	95	NC_STATE	project\vine\nc\ncstate	ncwashingtonja
NCWAYNEJA	34003	97	NC_STATE	project\vine\nc\ncstate	ncwayneja
NCWILKESJA	34003	98	NC_STATE	project\vine\nc\ncstate	ncwilkesja
NCWILSONJA	34003	99	NC_STATE	project\vine\nc\ncstate	ncwilsonja
NCYANCEYJA	34003	101	NC_STATE	project\vine\nc\ncstate	ncyanceyja
NCPOLKJA	34003	76	NC_STATE	project\vine\nc\ncstate	ncpolkja
NCRANDOLPHJA	34003	77	NC_STATE	project\vine\nc\ncstate	ncrandolphja
NCRICHMONDJA	34003	78	NC_STATE	project\vine\nc\ncstate	ncrichmondja
NCROBESONJA	34003	79	NC_STATE	project\vine\nc\ncstate	ncrobesonja
NCROCKIN	34003	80	NC_STATE	project\vine\nc\ncstate	ncrockinghamja
NCROWANJA	34003	81	NC_STATE	project\vine\nc\ncstate	ncrowanja
NCRUTHERFORDJA	34003	82	NC_STATE	project\vine\nc\ncstate	ncrutherfordja
NCSCOTLANDJA	34003	84	NC_STATE	project\vine\nc\ncstate	ncscotlandja
NCSTANLYJA	34003	85	NC_STATE	project\vine\nc\ncstate	ncstanlyja
NCSTOKESJA	34003	86	NC_STATE	project\vine\nc\ncstate	ncstokesja
NCCUMBERLANDJA	34003	27	NC_STATE	project\vine\nc\ncstate	nccumberlandja
NCCURRITUCKJA	34003	28	NC_STATE	project\vine\nc\ncstate	nccurrituckja
NCDAREJA	34003	29	NC_STATE	project\vine\nc\ncstate	ncdareja
NCDAVIEJA	34003	31	NC_STATE	project\vine\nc\ncstate	ncdavieja
NCDUPLINJA	34003	32	NC_STATE	project\vine\nc\ncstate	ncduplinja
NCDURHAMJA	34003	33	NC_STATE	project\vine\nc\ncstate	ncdurhamja
NCEDGECOMBEJA	34003	34	NC_STATE	project\vine\nc\ncstate	ncedgecombeja
NCFRANKLINJA	34003	36	NC_STATE	project\vine\nc\ncstate	ncfranklinja
NCGASTONJA	34003	37	NC_STATE	project\vine\nc\ncstate	ncgastonja
NCGRAHAMJA	34003	39	NC_STATE	project\vine\nc\ncstate	ncgrahamja
NCGRANVILLEJA	34003	40	NC_STATE	project\vine\nc\ncstate	ncgranvilleja
NCGREENEJA	34003	41	NC_STATE	project\vine\nc\ncstate	ncgreeneja
NCHALIFAXJA	34003	43	NC_STATE	project\vine\nc\ncstate	nchalifaxja
NCHENDERSONJA	34003	46	NC_STATE	project\vine\nc\ncstate	nchendersonja
NCHERTFORDJA	34003	47	NC_STATE	project\vine\nc\ncstate	nchertfordja
NCHOKEJA	34003	48	NC_STATE	project\vine\nc\ncstate	nchokeja
NCHYDEJA	34003	49	NC_STATE	project\vine\nc\ncstate	nchydeja
NCIREDELLJA	34003	50	NC_STATE	project\vine\nc\ncstate	nciredellja
NCJOHNSTONJA	34003	52	NC_STATE	project\vine\nc\ncstate	ncjohnstonja
NCJONESJA	34003	53	NC_STATE	project\vine\nc\ncstate	ncjonesja
NCLEEJA	34003	54	NC_STATE	project\vine\nc\ncstate	ncleeja
NCLENOIRJA	34003	55	NC_STATE	project\vine\nc\ncstate	nclenoirja
NCLINCOLNJA	34003	56	NC_STATE	project\vine\nc\ncstate	nclincolnja
NCMACONJA	34003	58	NC_STATE	project\vine\nc\ncstate	ncmaconja
NCMADISONJA	34003	59	NC_STATE	project\vine\nc\ncstate	ncmadisonja
NCMECKLENBURGJA	34003	61	NC_STATE	project\vine\nc\ncstate	ncmecklenburgja
NCMONTGOMERYJA	34003	63	NC_STATE	project\vine\nc\ncstate	ncmontgomeryja
NCMOOREJA	34003	64	NC_STATE	project\vine\nc\ncstate	ncmooreja
NCNEWHANOVERJA	34003	66	NC_STATE	project\vine\nc\ncstate	ncnewhanoverja
NCONSLOWJA	34003	68	NC_STATE	project\vine\nc\ncstate	nconslowja
NCORANGEJA	34003	69	NC_STATE	project\vine\nc\ncstate	ncorangeja
NCPASQUOTANKJA	34003	71	NC_STATE	project\vine\nc\ncstate	ncpasquotankja
NCPENDERJA	34003	72	NC_STATE	project\vine\nc\ncstate	ncpenderja
NCCASWELLJA	34003	18	NC_STATE	project\vine\nc\ncstate	nccaswellja
NCCATAWBAJA	34003	19	NC_STATE	project\vine\nc\ncstate	nccatawbaja
NCCHATHAMJA	34003	20	NC_STATE	project\vine\nc\ncstate	ncchathamja
NCCHEROKEEJA	34003	21	NC_STATE	project\vine\nc\ncstate	nccherokeeja
NCCHOWANJA	34003	22	NC_STATE	project\vine\nc\ncstate	ncchowanja
NCCLAYJA	34003	23	NC_STATE	project\vine\nc\ncstate	ncclayja
NCCLEVELANDJA	34003	24	NC_STATE	project\vine\nc\ncstate	ncclevelandja
NCCOLUMBUSJA	34003	25	NC_STATE	project\vine\nc\ncstate	nccolumbusja
NYTIOGAJA	33004	453	NY_NYSTATE	project\vine\ny\nystate	nytiogaja
NYULSTERJA	33004	455	NY_NYSTATE	project\vine\ny\nystate	nyulsterja
NYWARRENJA	33004	456	NY_NYSTATE	project\vine\ny\nystate	nywarrenja
NYWASHINGTONJA	33004	457	NY_NYSTATE	project\vine\ny\nystate	nywashingtonja
NYWAYNE	33004	458	NY_NYSTATE	project\vine\ny\nystate	nywayneja
NYYATESJA	33004	461	NY_NYSTATE	project\vine\ny\nystate	nyyatesja
NYCITYDOC	33004	465	NY_NYSTATE	project\vine\ny\nystate	nycitydoc
NCDOC	34003	1	NC_STATE	project\vine\nc\ncstate	ncdoc
NCALAMANCEJA	34003	2	NC_STATE	project\vine\nc\ncstate	ncalamanceja
NCALLEGHANYJA	34003	4	NC_STATE	project\vine\nc\ncstate	ncalleghanyja
NCANSONJA	34003	5	NC_STATE	project\vine\nc\ncstate	ncansonja
NCASHEJA	34003	6	NC_STATE	project\vine\nc\ncstate	ncasheja
NCBEAUFORTJA	34003	8	NC_STATE	project\vine\nc\ncstate	ncbeaufortja
NYSTLAWRENCEJA	33004	444	NY_NYSTATE	project\vine\ny\nystate	nystlawrenceja
NYSARATOGAJA	33004	445	NY_NYSTATE	project\vine\ny\nystate	nysaratogaja
NYSCHENECTADYJA	33004	446	NY_NYSTATE	project\vine\ny\nystate	nyschenectadyja
NYSTEUBENJA	33004	450	NY_NYSTATE	project\vine\ny\nystate	nysteubenja
NYSULLIVANJA	33004	452	NY_NYSTATE	project\vine\ny\nystate	nysullivanja
NCBERTIEJA	34003	9	NC_STATE	project\vine\nc\ncstate	ncbertieja
NCBLADENJA	34003	10	NC_STATE	project\vine\nc\ncstate	ncbladenja
NCBURKEJA	34003	13	NC_STATE	project\vine\nc\ncstate	ncburkeja
NCCABARRUSJA	34003	14	NC_STATE	project\vine\nc\ncstate	nccabarrusja
NCCALDWELLJA	34003	15	NC_STATE	project\vine\nc\ncstate	nccaldwellja
NYALLEGANYJA	33004	401	NY_NYSTATE	project\vine\ny\nystate	nyalleganyja
NYBROOMEJA	33004	403	NY_NYSTATE	project\vine\ny\nystate	nybroomeja
NYCATTARAUGUSJA	33004	404	NY_NYSTATE	project\vine\ny\nystate	nycattaraugusja
NYCAYUGAJA	33004	405	NY_NYSTATE	project\vine\ny\nystate	nycayugaja
NYCHEMUNGJA	33004	407	NY_NYSTATE	project\vine\ny\nystate	nychemungja
NYCHENANGOJA	33004	408	NY_NYSTATE	project\vine\ny\nystate	nychenangoja
NYCLINTONJA	33004	409	NY_NYSTATE	project\vine\ny\nystate	nyclintonja
NYCORTLANDJA	33004	411	NY_NYSTATE	project\vine\ny\nystate	nycortlandja
NYDELAWAREJA	33004	412	NY_NYSTATE	project\vine\ny\nystate	nydelawareja
NYESSEXJA	33004	415	NY_NYSTATE	project\vine\ny\nystate	nyessexja
NYFRANKLINJA	33004	416	NY_NYSTATE	project\vine\ny\nystate	nyfranklinja
NYFULTONJA	33004	417	NY_NYSTATE	project\vine\ny\nystate	nyfultonja
NYGENESEEJA	33004	418	NY_NYSTATE	project\vine\ny\nystate	nygeneseeja
NYHERKIMERJA	33004	421	NY_NYSTATE	project\vine\ny\nystate	nyherkimerja
NYJEFFERSONJA	33004	422	NY_NYSTATE	project\vine\ny\nystate	nyjeffersonja
NYMADISONJA	33004	426	NY_NYSTATE	project\vine\ny\nystate	nymadisonja
NYMONROEJA	33004	427	NY_NYSTATE	project\vine\ny\nystate	nymonroeja
NYMONTGOMERYJA	33004	428	NY_NYSTATE	project\vine\ny\nystate	nymontgo
NYNASSAUJA	33004	429	NY_NYSTATE	project\vine\ny\nystate	nynassauja
NYNIAGARAJA	33004	431	NY_NYSTATE	project\vine\ny\nystate	nyniagaraja
NYONONDAGAJA	33004	433	NY_NYSTATE	project\vine\ny\nystate	nyonondagaja
NYONTARIOJA	33004	434	NY_NYSTATE	project\vine\ny\nystate	nyontarioja
NYORANGEJA	33004	435	NY_NYSTATE	project\vine\ny\nystate	nyorangeja
NYORLEANSJA	33004	436	NY_NYSTATE	project\vine\ny\nystate	nyorleansja
NYOTSEGOJA	33004	438	NY_NYSTATE	project\vine\ny\nystate	nyotsegoja
NYPUTNAMJA	33004	439	NY_NYSTATE	project\vine\ny\nystate	nyputnamja
NYROCKLANDJA	33004	443	NY_NYSTATE	project\vine\ny\nystate	nyrocklandja
NYDOC	33004	1	NY_NYSTATE	project\vine\ny\nystate	nydoc
MIIRONPR	23005	136	MI_MISTATE	project\vine\mi\mistate	miironpa
MIISABELLAPA	23005	137	MI_MISTATE	project\vine\mi\mistate	miisabellapa
MIJACKSONPR	23005	138	MI_MISTATE	project\vine\mi\mistate	mijacksonpa
MIKALAMAZOOPA	23005	139	MI_MISTATE	project\vine\mi\mistate	mikalamazoopa
MIKENTPA	23005	141	MI_MISTATE	project\vine\mi\mistate	mikentpa
MILAKEPR	23005	143	MI_MISTATE	project\vine\mi\mistate	milakepa
MILAPEERPR	23005	144	MI_MISTATE	project\vine\mi\mistate	milapeerpa
MIMASONPA	23005	153	MI_MISTATE	project\vine\mi\mistate	mimasonpa
MIMENOMINEEPA	23005	155	MI_MISTATE	project\vine\mi\mistate	mimenomineepa
MIMIDLANDPA	23005	156	MI_MISTATE	project\vine\mi\mistate	mimidlandpa
MIMISSAUKEEPA	23005	157	MI_MISTATE	project\vine\mi\mistate	mimissaukeepa
MIMONROEPA	23005	158	MI_MISTATE	project\vine\mi\mistate	mimonroepa
MINEWAYGOPA	23005	162	MI_MISTATE	project\vine\mi\mistate	minewaygopa
MIOCEANAPR	23005	164	MI_MISTATE	project\vine\mi\mistate	mioceanapa
MIOTSEGOPR	23005	168	MI_MISTATE	project\vine\mi\mistate	miotsegopa
MIOTTAWAPA	23005	169	MI_MISTATE	project\vine\mi\mistate	miottawapa
MISTJOSEPHPR	23005	174	MI_MISTATE	project\vine\mi\mistate	mistjosephpa
MISHIAWASSEEPA	23005	177	MI_MISTATE	project\vine\mi\mistate	mishiawasseepa
MIWAYNEPR	23005	181	MI_MISTATE	project\vine\mi\mistate	miwaynepa
MIHILLSDALEPA	23005	130	MI_MISTATE	project\vine\mi\mistate	mihillsdalepa
MILEELANAUJA	23005	45	MI_MISTATE	project\vine\mi\mistate	mileelanauja
MILENAWEEJA	23005	46	MI_MISTATE	project\vine\mi\mistate	milenaweeja
MIMARQJA	23005	52	MI_MISTATE	project\vine\mi\mistate	mimarquetteja
MIMASONJA	23005	53	MI_MISTATE	project\vine\mi\mistate	mimasonja
MIMIDLANDJA	23005	56	MI_MISTATE	project\vine\mi\mistate	mimidlandja
MINEWAYGOJA	23005	62	MI_MISTATE	project\vine\mi\mistate	minewagoja
MIOTSEJA	23005	68	MI_MISTATE	project\vine\mi\mistate	miotsegoja
MIPRESQUEISLEJA	23005	70	MI_MISTATE	project\vine\mi\mistate	mipresqueisleja
MISANILACJA	23005	75	MI_MISTATE	project\vine\mi\mistate	misanilacja
MISHIAWASSEEJA	23005	77	MI_MISTATE	project\vine\mi\mistate	mishiawasseeja
MITUSCOLAJA	23005	78	MI_MISTATE	project\vine\mi\mistate	mituscolaja
MIWAYNEJA	23005	81	MI_MISTATE	project\vine\mi\mistate	miwayneja
MIDOC	23005	100	MI_MISTATE	project\vine\mi\mistate	midoc
MIALCONAPA	23005	101	MI_MISTATE	project\vine\mi\mistate	mialconapa
